label,serving_description,serving_grams,calories,protein_g,carbs_g,fat_g
boiled_egg,1 large boiled egg,50,78,6.3,0.6,5.3
idly,1 idly,39,58,2.0,12.0,0.4
medu_vadai,1 medu vadai,50,135,4.0,16.0,6.0
nei_satham,1 cup ghee rice,180,300,5.0,48.0,9.0
paal_kolukattai,1 serving,180,260,5.0,48.0,5.0
pidi_kolukattai,1 serving,150,220,5.0,45.0,2.0
poorna_kolukattai,1 serving,150,280,4.5,55.0,5.5
puthina_chutney,2 tbsp mint chutney,30,45,1.0,5.0,2.5
rice,1 cup cooked rice,158,205,4.3,44.5,0.4
roti,1 medium roti,40,120,3.1,18.0,3.7
