epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6639,1.05802,3.31298,1.47942,0.46294,0.5733,0.54763,0.3874,1.02722,2.49057,1.52667,0.000234987,0.000234987,0.000234987
2,33.4891,0.97433,1.94746,1.3711,0.50761,0.30896,0.35275,0.22129,1.20417,2.87605,1.68608,0.000468305,0.000468305,0.000468305
3,49.2442,1.04959,1.82115,1.44009,0.37637,0.48693,0.42057,0.20946,1.38173,2.41523,1.93708,0.00069691,0.00069691,0.00069691
4,64.879,1.06701,1.78309,1.42755,0.41629,0.6314,0.50434,0.28741,1.38538,2.40939,1.94241,0.000692794,0.000692794,0.000692794
5,80.598,1.05473,1.63257,1.45036,0.66603,0.49446,0.59437,0.36844,1.23307,2.0622,1.75766,0.000685726,0.000685726,0.000685726
6,96.3863,1.01892,1.55734,1.41141,0.46489,0.61819,0.53943,0.3422,1.27393,1.75183,1.76486,0.000678657,0.000678657,0.000678657
7,112.119,1.02288,1.46022,1.4095,0.48175,0.62399,0.56981,0.35702,1.25841,1.81555,1.79257,0.000671588,0.000671588,0.000671588
8,127.935,1.02589,1.45218,1.43296,0.55579,0.68863,0.63749,0.42932,1.10538,1.57476,1.60498,0.00066452,0.00066452,0.00066452
9,144.498,0.96788,1.46971,1.38435,0.57514,0.63328,0.60853,0.40339,1.15156,1.62553,1.6107,0.000657451,0.000657451,0.000657451
10,160.514,0.95207,1.36439,1.36255,0.52133,0.63183,0.58046,0.38357,1.14927,1.62788,1.67298,0.000650383,0.000650383,0.000650383
11,176.605,0.94081,1.34472,1.35409,0.58716,0.63634,0.64714,0.43895,1.10136,1.50425,1.60746,0.000643314,0.000643314,0.000643314
12,192.863,0.96393,1.27799,1.36946,0.60687,0.71069,0.64146,0.42673,1.10688,1.47468,1.62888,0.000636245,0.000636245,0.000636245
13,208.936,0.92126,1.25808,1.34195,0.57111,0.57804,0.62219,0.40437,1.17009,1.61613,1.67977,0.000629177,0.000629177,0.000629177
14,224.997,0.90567,1.18893,1.32798,0.57633,0.69488,0.67995,0.46311,1.08832,1.41283,1.5826,0.000622108,0.000622108,0.000622108
15,241.162,0.91413,1.15283,1.33934,0.63346,0.68734,0.67324,0.44742,1.06944,1.34977,1.61864,0.00061504,0.00061504,0.00061504
16,257.235,0.88495,1.19407,1.32213,0.68305,0.65927,0.69076,0.47141,1.05651,1.35459,1.57134,0.000607971,0.000607971,0.000607971
17,273.397,0.88609,1.0756,1.32161,0.62767,0.60077,0.62304,0.42637,1.1602,1.5964,1.70095,0.000600902,0.000600902,0.000600902
18,289.46,0.87384,1.08121,1.30624,0.69598,0.72105,0.72123,0.48736,1.05925,1.2681,1.53476,0.000593834,0.000593834,0.000593834
19,305.705,0.86566,1.09351,1.30051,0.57478,0.74148,0.66984,0.47017,1.02785,1.39894,1.59172,0.000586765,0.000586765,0.000586765
20,321.85,0.85187,1.04152,1.30057,0.611,0.59421,0.63993,0.44557,1.03186,1.48749,1.55671,0.000579697,0.000579697,0.000579697
21,337.987,0.86942,1.04927,1.31108,0.68205,0.79339,0.80835,0.54992,1.03952,1.14039,1.55833,0.000572628,0.000572628,0.000572628
22,354.203,0.84964,0.9965,1.2833,0.65774,0.70933,0.65629,0.44148,1.00578,1.28662,1.52126,0.000565559,0.000565559,0.000565559
23,370.336,0.84161,1.02501,1.28009,0.6381,0.73413,0.73155,0.51333,0.96932,1.20277,1.4874,0.000558491,0.000558491,0.000558491
24,386.433,0.82154,0.93591,1.26652,0.69127,0.69954,0.73137,0.50473,0.99809,1.18469,1.50377,0.000551422,0.000551422,0.000551422
25,402.605,0.80623,0.93142,1.26005,0.74288,0.69422,0.73485,0.51057,0.99271,1.3165,1.52286,0.000544354,0.000544354,0.000544354
26,418.782,0.80948,0.89664,1.27166,0.65176,0.63661,0.70184,0.49468,1.04497,1.2848,1.54025,0.000537285,0.000537285,0.000537285
27,434.989,0.82266,0.92215,1.27029,0.56426,0.73911,0.67033,0.46433,1.01984,1.38946,1.56482,0.000530216,0.000530216,0.000530216
28,451.22,0.79338,0.89497,1.26299,0.70352,0.7165,0.75774,0.54443,0.94,1.14488,1.46306,0.000523148,0.000523148,0.000523148
29,467.42,0.79377,0.8828,1.24379,0.70697,0.65141,0.70469,0.51052,0.97599,1.29973,1.49285,0.000516079,0.000516079,0.000516079
30,483.589,0.79725,0.84456,1.23903,0.59637,0.64837,0.68512,0.49258,1.00965,1.33578,1.54942,0.000509011,0.000509011,0.000509011
31,499.843,0.79985,0.8751,1.24231,0.66478,0.73049,0.70583,0.49223,1.01123,1.226,1.56014,0.000501942,0.000501942,0.000501942
32,516.088,0.78624,0.88971,1.24376,0.60535,0.76058,0.67062,0.47634,0.94721,1.25162,1.46325,0.000494873,0.000494873,0.000494873
33,532.31,0.77542,0.81474,1.23078,0.63532,0.72002,0.70739,0.50013,0.9916,1.22098,1.5269,0.000487805,0.000487805,0.000487805
34,548.597,0.79181,0.8317,1.25259,0.67246,0.7035,0.68932,0.49253,1.02826,1.27147,1.52277,0.000480736,0.000480736,0.000480736
35,564.902,0.76395,0.79964,1.22409,0.6814,0.72948,0.69175,0.47639,1.02905,1.28586,1.55776,0.000473668,0.000473668,0.000473668
36,581.203,0.74532,0.77653,1.20274,0.66726,0.70668,0.70989,0.50155,0.97122,1.18301,1.48912,0.000466599,0.000466599,0.000466599
37,597.502,0.75187,0.7779,1.21797,0.68097,0.75373,0.75484,0.53471,0.95306,1.1237,1.46977,0.00045953,0.00045953,0.00045953
38,613.747,0.75464,0.84089,1.22389,0.70187,0.70621,0.69776,0.49347,0.95506,1.25326,1.47732,0.000452462,0.000452462,0.000452462
39,630.046,0.72283,0.74565,1.19713,0.66734,0.70012,0.75684,0.54322,0.98868,1.22056,1.52585,0.000445393,0.000445393,0.000445393
40,646.305,0.73731,0.78077,1.2064,0.67766,0.76004,0.71828,0.51469,0.97822,1.21642,1.51146,0.000438325,0.000438325,0.000438325
41,662.56,0.71814,0.73893,1.20214,0.63298,0.74577,0.69532,0.48347,0.9759,1.27172,1.52348,0.000431256,0.000431256,0.000431256
42,678.853,0.7206,0.74472,1.20225,0.67426,0.70027,0.69854,0.48994,1.01808,1.31913,1.56429,0.000424187,0.000424187,0.000424187
43,695.111,0.7251,0.71828,1.19587,0.68691,0.68158,0.68198,0.48488,1.0239,1.26656,1.59061,0.000417119,0.000417119,0.000417119
44,711.438,0.69913,0.69042,1.17381,0.69203,0.71421,0.69477,0.49512,0.93488,1.23338,1.46379,0.00041005,0.00041005,0.00041005
45,727.912,0.69832,0.68499,1.16631,0.73168,0.72317,0.75591,0.54602,0.9773,1.15858,1.53465,0.000402982,0.000402982,0.000402982
46,744.346,0.71104,0.71106,1.18474,0.66979,0.77407,0.7476,0.54011,0.93557,1.10694,1.45431,0.000395913,0.000395913,0.000395913
47,760.652,0.72656,0.72728,1.20113,0.73288,0.75226,0.78529,0.54311,0.97367,1.17656,1.50921,0.000388844,0.000388844,0.000388844
48,776.967,0.69338,0.67932,1.17396,0.73361,0.72041,0.75188,0.51777,1.00148,1.24508,1.551,0.000381776,0.000381776,0.000381776
49,793.235,0.68621,0.65645,1.16863,0.75922,0.71792,0.7521,0.52348,0.97314,1.12936,1.521,0.000374707,0.000374707,0.000374707
50,809.51,0.66994,0.6149,1.16211,0.62329,0.79833,0.71556,0.50445,0.95943,1.2292,1.54292,0.000367639,0.000367639,0.000367639
51,825.808,0.68437,0.65754,1.17512,0.67846,0.77701,0.726,0.52678,0.92705,1.22178,1.47163,0.00036057,0.00036057,0.00036057
52,842.1,0.70438,0.6993,1.19069,0.70639,0.72593,0.72118,0.50828,0.91724,1.16686,1.46039,0.000353501,0.000353501,0.000353501
53,858.426,0.6778,0.61149,1.16082,0.69059,0.74794,0.71876,0.50963,0.95399,1.22628,1.50682,0.000346433,0.000346433,0.000346433
54,874.782,0.66067,0.63062,1.15558,0.73421,0.70685,0.71923,0.50825,0.98254,1.22799,1.54467,0.000339364,0.000339364,0.000339364
55,891.098,0.66565,0.60406,1.16176,0.75671,0.74332,0.77815,0.56147,0.92712,1.12707,1.47122,0.000332296,0.000332296,0.000332296
56,907.361,0.65619,0.633,1.1404,0.67251,0.77499,0.74486,0.53917,0.98205,1.13009,1.56246,0.000325227,0.000325227,0.000325227
57,923.619,0.64053,0.59129,1.15095,0.72349,0.74601,0.76589,0.55359,0.94394,1.12277,1.51253,0.000318158,0.000318158,0.000318158
58,939.949,0.65082,0.57262,1.14382,0.71174,0.7632,0.7355,0.5137,0.93033,1.12542,1.48353,0.00031109,0.00031109,0.00031109
59,956.376,0.6346,0.57988,1.13495,0.71685,0.70196,0.76611,0.54679,0.91562,1.12921,1.47443,0.000304021,0.000304021,0.000304021
60,972.659,0.64292,0.57914,1.14114,0.70448,0.81022,0.75188,0.53383,0.96019,1.12943,1.50363,0.000296953,0.000296953,0.000296953
61,988.99,0.64822,0.59982,1.14092,0.74184,0.73931,0.74739,0.53201,0.933,1.15358,1.47459,0.000289884,0.000289884,0.000289884
62,1005.36,0.62544,0.55463,1.11729,0.72139,0.72516,0.7476,0.52897,0.95604,1.15774,1.50783,0.000282815,0.000282815,0.000282815
63,1021.67,0.63915,0.57178,1.13375,0.73861,0.71778,0.76297,0.55002,0.92258,1.10602,1.45972,0.000275747,0.000275747,0.000275747
64,1038.05,0.60999,0.53753,1.10967,0.67901,0.76751,0.74397,0.53484,0.92745,1.18947,1.48672,0.000268678,0.000268678,0.000268678
65,1054.27,0.60166,0.5116,1.10069,0.73804,0.74691,0.74937,0.5446,0.93406,1.16203,1.49335,0.00026161,0.00026161,0.00026161
66,1070.5,0.6094,0.55298,1.11662,0.64281,0.78489,0.74237,0.52728,0.97483,1.15225,1.53274,0.000254541,0.000254541,0.000254541
67,1086.79,0.61741,0.55448,1.12961,0.63879,0.76791,0.69644,0.51412,0.93058,1.20085,1.47154,0.000247472,0.000247472,0.000247472
68,1103.09,0.6027,0.52871,1.10467,0.76842,0.73833,0.76682,0.54943,0.9283,1.10648,1.48484,0.000240404,0.000240404,0.000240404
69,1119.35,0.59964,0.51306,1.11529,0.68334,0.79017,0.74329,0.52093,0.92631,1.05748,1.4853,0.000233335,0.000233335,0.000233335
