epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3048,1.08375,3.96584,1.53404,0.56543,0.26658,0.22394,0.16218,1.23097,3.71712,1.77813,9.41266e-05,9.41266e-05,9.41266e-05
2,33.5511,0.91756,2.08687,1.34624,0.69152,0.39003,0.40575,0.27744,1.20431,2.77868,1.76491,0.000187584,0.000187584,0.000187584
3,49.5984,0.92246,1.7935,1.35486,0.70435,0.42679,0.4307,0.29354,1.21635,2.49716,1.78924,0.000279154,0.000279154,0.000279154
4,65.5756,0.90267,1.59383,1.33121,0.7029,0.47802,0.50392,0.32831,1.33506,2.13613,1.91709,0.000277506,0.000277506,0.000277506
5,81.4872,0.89615,1.44362,1.33559,0.64706,0.43123,0.4418,0.29742,1.22973,2.02026,1.82674,0.000274674,0.000274674,0.000274674
6,97.2785,0.87771,1.34657,1.31135,0.71374,0.52211,0.58692,0.41668,1.19507,1.76114,1.80066,0.000271843,0.000271843,0.000271843
7,113.234,0.87926,1.26824,1.30691,0.68238,0.4695,0.4707,0.33619,1.22178,2.10259,1.7296,0.000269012,0.000269012,0.000269012
8,129.072,0.8568,1.27889,1.305,0.73426,0.44365,0.53074,0.35324,1.16292,1.87988,1.77034,0.00026618,0.00026618,0.00026618
9,144.847,0.85738,1.21401,1.30252,0.67983,0.52401,0.55775,0.39071,1.23434,1.59916,1.8319,0.000263349,0.000263349,0.000263349
10,160.655,0.82261,1.08219,1.26993,0.6733,0.47921,0.53809,0.38628,1.13996,1.45203,1.68744,0.000260517,0.000260517,0.000260517
11,176.45,0.80341,1.03651,1.25752,0.53665,0.60633,0.54246,0.38328,1.1763,1.49662,1.7038,0.000257686,0.000257686,0.000257686
12,192.316,0.82471,1.02951,1.27163,0.71233,0.49239,0.5474,0.37883,1.09366,1.51332,1.65456,0.000254855,0.000254855,0.000254855
13,208.328,0.78028,1.01728,1.2375,0.67338,0.50143,0.54743,0.39708,1.10866,1.57289,1.69482,0.000252023,0.000252023,0.000252023
14,224.384,0.78033,0.91769,1.23232,0.70261,0.46146,0.54691,0.3844,1.0928,1.51361,1.61428,0.000249192,0.000249192,0.000249192
15,240.323,0.77562,0.91991,1.23346,0.7365,0.54252,0.56667,0.40635,1.13494,1.33926,1.72169,0.00024636,0.00024636,0.00024636
16,256.207,0.77404,0.94756,1.23761,0.73224,0.50871,0.56277,0.41211,1.15746,1.61698,1.71283,0.000243529,0.000243529,0.000243529
17,272.173,0.76621,0.87101,1.2286,0.58865,0.47367,0.50787,0.36652,1.10381,1.72797,1.65532,0.000240698,0.000240698,0.000240698
18,288.161,0.75782,0.87076,1.22274,0.6761,0.61138,0.5597,0.40701,1.10855,1.64458,1.64208,0.000237866,0.000237866,0.000237866
19,304.161,0.75216,0.8271,1.21321,0.67079,0.49708,0.54503,0.39227,1.23329,1.46775,1.82646,0.000235035,0.000235035,0.000235035
20,320.173,0.73905,0.81159,1.21174,0.67807,0.54128,0.54957,0.39696,1.15229,1.63036,1.7375,0.000232203,0.000232203,0.000232203
21,336.209,0.75727,0.86937,1.22091,0.69232,0.55857,0.57414,0.42184,1.25112,1.37317,1.86374,0.000229372,0.000229372,0.000229372
22,352.487,0.731,0.79896,1.19534,0.74753,0.53027,0.58052,0.42959,1.11409,1.337,1.66002,0.000226541,0.000226541,0.000226541
23,368.701,0.7188,0.77351,1.1892,0.73856,0.50792,0.56221,0.39962,1.11426,1.38448,1.68987,0.000223709,0.000223709,0.000223709
24,384.786,0.71032,0.75633,1.17934,0.64003,0.56618,0.58796,0.42267,1.12854,1.43594,1.69046,0.000220878,0.000220878,0.000220878
25,400.935,0.69918,0.747,1.17358,0.6536,0.58421,0.53885,0.38667,1.06478,1.55918,1.70284,0.000218046,0.000218046,0.000218046
26,417.138,0.70093,0.70529,1.18748,0.60962,0.5658,0.57962,0.42211,1.15521,1.61217,1.7843,0.000215215,0.000215215,0.000215215
27,433.278,0.70286,0.74784,1.18186,0.69543,0.60819,0.58745,0.41947,1.21298,1.51663,1.80058,0.000212384,0.000212384,0.000212384
28,449.439,0.68816,0.70305,1.18133,0.65425,0.5946,0.60622,0.44775,1.10863,1.336,1.74545,0.000209552,0.000209552,0.000209552
29,465.72,0.68783,0.68471,1.16032,0.66517,0.61973,0.59685,0.43163,1.04216,1.34855,1.65937,0.000206721,0.000206721,0.000206721
30,481.867,0.6881,0.67273,1.16482,0.77601,0.52927,0.5827,0.41596,1.15548,1.38357,1.66882,0.000203889,0.000203889,0.000203889
31,498.101,0.69036,0.6754,1.15931,0.70983,0.59106,0.58432,0.42755,1.10631,1.45535,1.71487,0.000201058,0.000201058,0.000201058
32,514.299,0.68177,0.68265,1.15809,0.66881,0.57146,0.54135,0.39449,1.11148,1.37733,1.70571,0.000198227,0.000198227,0.000198227
33,530.508,0.66236,0.62672,1.147,0.61597,0.55827,0.5351,0.38236,1.14306,1.36631,1.70897,0.000195395,0.000195395,0.000195395
34,546.707,0.67414,0.64372,1.16794,0.66639,0.50079,0.54394,0.39565,1.26389,1.41228,1.91282,0.000192564,0.000192564,0.000192564
35,562.924,0.65524,0.62705,1.14314,0.72135,0.56567,0.56821,0.41186,1.19561,1.34112,1.79217,0.000189732,0.000189732,0.000189732
36,579.182,0.63417,0.6022,1.12624,0.66945,0.52624,0.55965,0.40658,1.20685,1.51444,1.78612,0.000186901,0.000186901,0.000186901
37,595.471,0.65051,0.61121,1.14282,0.66902,0.47358,0.55216,0.39939,1.17239,1.33462,1.79867,0.00018407,0.00018407,0.00018407
38,611.731,0.65474,0.64043,1.14683,0.65478,0.56097,0.55016,0.39756,1.03149,1.68649,1.56321,0.000181238,0.000181238,0.000181238
39,627.999,0.63664,0.60006,1.12546,0.60487,0.55023,0.56084,0.40734,1.17368,1.23264,1.78138,0.000178407,0.000178407,0.000178407
40,644.203,0.62987,0.61944,1.12943,0.57767,0.60624,0.54568,0.40023,1.14928,1.35422,1.75375,0.000175575,0.000175575,0.000175575
41,660.469,0.60739,0.60205,1.11939,0.67834,0.50297,0.51434,0.35916,1.10373,1.39132,1.69576,0.000172744,0.000172744,0.000172744
42,676.788,0.62593,0.58697,1.12787,0.62263,0.60602,0.5624,0.42048,1.09844,1.28233,1.70322,0.000169913,0.000169913,0.000169913
43,693.114,0.61087,0.56071,1.10828,0.63976,0.57688,0.57597,0.43452,1.04323,1.33772,1.63042,0.000167081,0.000167081,0.000167081
44,709.377,0.60932,0.56289,1.11581,0.57612,0.57256,0.54373,0.4011,1.09324,1.32653,1.73418,0.00016425,0.00016425,0.00016425
45,725.659,0.60447,0.54812,1.09972,0.74164,0.52818,0.55615,0.41757,1.10371,1.30825,1.75815,0.000161418,0.000161418,0.000161418
46,741.916,0.60312,0.57475,1.10932,0.63364,0.53616,0.55401,0.41892,1.11032,1.4423,1.68297,0.000158587,0.000158587,0.000158587
47,758.208,0.62645,0.59161,1.12334,0.74249,0.51741,0.54881,0.41017,1.17191,1.23961,1.73515,0.000155756,0.000155756,0.000155756
48,774.535,0.60336,0.53881,1.10165,0.62389,0.57341,0.56709,0.42177,1.08483,1.42007,1.66389,0.000152924,0.000152924,0.000152924
49,790.944,0.58154,0.52056,1.09555,0.62528,0.57192,0.57982,0.43254,1.0867,1.46699,1.6843,0.000150093,0.000150093,0.000150093
50,807.225,0.58001,0.51227,1.09717,0.64173,0.5711,0.56761,0.41474,1.1491,1.37995,1.74658,0.000147261,0.000147261,0.000147261
51,823.496,0.59222,0.51166,1.10241,0.64638,0.53679,0.56218,0.40951,1.28256,1.32015,1.91185,0.00014443,0.00014443,0.00014443
52,839.823,0.62459,0.54782,1.13904,0.7022,0.59745,0.58023,0.41239,1.23034,1.21996,1.80255,0.000141599,0.000141599,0.000141599
53,856.226,0.5781,0.50123,1.08548,0.69986,0.55822,0.57139,0.41793,1.19905,1.24003,1.79481,0.000138767,0.000138767,0.000138767
54,872.655,0.56136,0.49999,1.07993,0.67885,0.57443,0.57868,0.41921,1.11561,1.46314,1.69864,0.000135936,0.000135936,0.000135936
55,888.994,0.57846,0.51803,1.09923,0.69483,0.58488,0.57208,0.41298,1.21395,1.25495,1.81267,0.000133104,0.000133104,0.000133104
56,905.312,0.55498,0.50355,1.06313,0.74253,0.50134,0.56103,0.40502,1.14481,1.33024,1.8707,0.000130273,0.000130273,0.000130273
57,921.615,0.55281,0.48961,1.0811,0.74346,0.54102,0.56833,0.42417,1.06865,1.33636,1.75583,0.000127442,0.000127442,0.000127442
58,937.966,0.55128,0.46995,1.07109,0.73043,0.56115,0.55085,0.40529,1.13086,1.39796,1.7807,0.00012461,0.00012461,0.00012461
59,954.316,0.54163,0.48433,1.0712,0.68534,0.54322,0.53589,0.3906,1.18774,1.32256,1.79737,0.000121779,0.000121779,0.000121779
60,970.693,0.5464,0.48293,1.07082,0.68108,0.53119,0.54947,0.39744,1.13046,1.42377,1.7801,0.000118947,0.000118947,0.000118947
61,986.998,0.54519,0.48165,1.06555,0.70124,0.5551,0.57166,0.41721,1.1267,1.37466,1.80521,0.000116116,0.000116116,0.000116116
62,1003.33,0.53428,0.4526,1.05581,0.64765,0.57338,0.5644,0.40617,1.0951,1.17107,1.77438,0.000113285,0.000113285,0.000113285
63,1019.68,0.54475,0.47046,1.06365,0.62884,0.58343,0.53893,0.38701,1.08523,1.42573,1.76041,0.000110453,0.000110453,0.000110453
64,1036,0.53798,0.43595,1.05908,0.67808,0.58308,0.54426,0.38877,1.09025,1.46338,1.7538,0.000107622,0.000107622,0.000107622
65,1052.39,0.51903,0.42123,1.04627,0.65702,0.57075,0.54603,0.4023,1.13921,1.3837,1.74202,0.00010479,0.00010479,0.00010479
66,1068.67,0.52516,0.43541,1.05941,0.64,0.58409,0.54924,0.39746,1.07967,1.33877,1.72977,0.000101959,0.000101959,0.000101959
67,1085.04,0.52148,0.45205,1.06068,0.60222,0.58639,0.54217,0.3946,1.16498,1.38477,1.91781,9.91276e-05,9.91276e-05,9.91276e-05
68,1101.37,0.52005,0.42668,1.05163,0.69542,0.52832,0.53702,0.38864,1.1631,1.46179,1.79664,9.62962e-05,9.62962e-05,9.62962e-05
69,1117.69,0.51316,0.43052,1.04883,0.66648,0.54034,0.53965,0.39245,1.07433,1.44787,1.78062,9.34648e-05,9.34648e-05,9.34648e-05
70,1134.02,0.51705,0.44453,1.05288,0.7521,0.54229,0.56883,0.41611,1.09952,1.28457,1.78651,9.06334e-05,9.06334e-05,9.06334e-05
71,1150.4,0.49814,0.43238,1.04377,0.63898,0.55265,0.54533,0.39836,1.08111,1.30141,1.73629,8.7802e-05,8.7802e-05,8.7802e-05
72,1166.7,0.49001,0.41244,1.02366,0.66396,0.57602,0.58951,0.43693,1.11775,1.18906,1.81121,8.49706e-05,8.49706e-05,8.49706e-05
73,1183.08,0.49106,0.42569,1.03244,0.66415,0.56921,0.56397,0.41102,1.1572,1.32962,1.87717,8.21392e-05,8.21392e-05,8.21392e-05
74,1199.37,0.48254,0.42363,1.0225,0.69138,0.55139,0.54555,0.40402,1.08024,1.25594,1.82448,7.93078e-05,7.93078e-05,7.93078e-05
75,1215.73,0.51598,0.49013,1.05528,0.74066,0.55318,0.56431,0.41625,1.07604,1.25671,1.82057,7.64764e-05,7.64764e-05,7.64764e-05
76,1232.05,0.48781,0.4532,1.02403,0.67916,0.61353,0.55965,0.40737,1.15495,1.42977,1.90459,7.3645e-05,7.3645e-05,7.3645e-05
77,1248.48,0.48636,0.42247,1.03222,0.75301,0.56147,0.56577,0.41167,1.16543,1.40343,1.93284,7.08136e-05,7.08136e-05,7.08136e-05
78,1264.83,0.4851,0.39479,1.02952,0.69396,0.54363,0.5657,0.4193,1.1577,1.3325,1.88902,6.79822e-05,6.79822e-05,6.79822e-05
79,1281.2,0.46678,0.37248,1.015,0.66106,0.58286,0.57695,0.41872,1.13847,1.2872,1.88926,6.51508e-05,6.51508e-05,6.51508e-05
80,1297.47,0.47857,0.3869,1.01979,0.58751,0.59241,0.56103,0.4101,1.13941,1.34117,1.86925,6.23194e-05,6.23194e-05,6.23194e-05
81,1313.81,0.46815,0.39958,1.02267,0.67909,0.56609,0.57849,0.42463,1.08988,1.20561,1.79493,5.9488e-05,5.9488e-05,5.9488e-05
82,1330.16,0.48088,0.37628,1.04248,0.69734,0.55048,0.57039,0.42127,1.18193,1.36696,1.82976,5.66566e-05,5.66566e-05,5.66566e-05
83,1346.53,0.46291,0.3707,1.01486,0.6599,0.63397,0.56429,0.40886,1.13459,1.37514,1.76057,5.38252e-05,5.38252e-05,5.38252e-05
84,1362.85,0.45319,0.37316,1.00826,0.68707,0.59151,0.55839,0.41412,1.1171,1.3059,1.77812,5.09938e-05,5.09938e-05,5.09938e-05
85,1379.22,0.46783,0.37273,1.01808,0.74149,0.53998,0.55454,0.40771,1.17601,1.31838,1.8098,4.81624e-05,4.81624e-05,4.81624e-05
86,1395.52,0.46298,0.36808,1.01837,0.65008,0.62444,0.55299,0.40438,1.10085,1.33167,1.77839,4.5331e-05,4.5331e-05,4.5331e-05
87,1411.93,0.4696,0.36323,1.02933,0.7161,0.57203,0.56138,0.41022,1.10841,1.24051,1.81352,4.24996e-05,4.24996e-05,4.24996e-05
88,1428.28,0.45051,0.37487,1.0024,0.62227,0.60346,0.54954,0.40493,1.13548,1.26412,1.86105,3.96682e-05,3.96682e-05,3.96682e-05
89,1444.65,0.44244,0.36379,1.01027,0.71862,0.56894,0.58125,0.43599,1.12676,1.27044,1.82597,3.68368e-05,3.68368e-05,3.68368e-05
90,1460.99,0.47173,0.36072,1.05359,0.73732,0.56812,0.57027,0.42297,1.10632,1.26262,1.81418,3.40054e-05,3.40054e-05,3.40054e-05
91,1477.96,0.42088,0.38269,1.00872,0.7382,0.54791,0.57076,0.42046,1.11833,1.31327,1.83665,3.1174e-05,3.1174e-05,3.1174e-05
92,1494.26,0.35126,0.28834,0.9468,0.76509,0.5276,0.55236,0.40824,1.16493,1.34625,1.84893,2.83426e-05,2.83426e-05,2.83426e-05
93,1510.55,0.34676,0.27281,0.93528,0.67652,0.56431,0.544,0.40278,1.13104,1.28097,1.84175,2.55112e-05,2.55112e-05,2.55112e-05
94,1526.86,0.34742,0.29478,0.94563,0.66357,0.59854,0.56218,0.41288,1.11751,1.24673,1.86356,2.26798e-05,2.26798e-05,2.26798e-05
95,1543.11,0.33931,0.2577,0.93492,0.68297,0.57542,0.55702,0.41209,1.12716,1.26426,1.86489,1.98484e-05,1.98484e-05,1.98484e-05
96,1559.34,0.32727,0.24791,0.93638,0.69369,0.55639,0.55933,0.41703,1.1264,1.26379,1.83958,1.7017e-05,1.7017e-05,1.7017e-05
97,1575.65,0.33716,0.24996,0.94047,0.58886,0.60664,0.55887,0.41746,1.12993,1.29478,1.87548,1.41856e-05,1.41856e-05,1.41856e-05
98,1591.95,0.33767,0.25536,0.94121,0.59734,0.61438,0.55831,0.41861,1.1114,1.28893,1.8512,1.13542e-05,1.13542e-05,1.13542e-05
99,1608.25,0.3315,0.28044,0.9405,0.68156,0.57844,0.55609,0.41885,1.09539,1.23716,1.83967,8.5228e-06,8.5228e-06,8.5228e-06
100,1624.44,0.3678,0.25843,0.99528,0.59945,0.60291,0.55388,0.41995,1.08778,1.24128,1.83751,5.6914e-06,5.6914e-06,5.6914e-06
